# This file designates any sprites that should have custom margins, sepMasks, flags, or origin positions. This step takes place after sprites are imported and renames have taken place
# A '#' at the start of a line indicates a comment
# Correct syntax is '[SpriteName] [MarginLeft] [MarginRight] [MarginBottom] [MarginTop] [Transparent] [Smooth] [Preload] [SepMasks] [OriginX] [OriginY]'
# e.g sTestSprite 0 31 35 0 false false false AxisAlignedRect 0 0

sItemDNA 0 16 16 0 false false false AxisAlignedRect 0 16
sItemMW 0 16 18 0 false false false AxisAlignedRect 0 18
sItemMWGlass 0 16 16 0 false false false AxisAlignedRect 0 16

sItemChinyBomb 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyChargeBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyDNA 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyEnergyTank 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyGravitySuit 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyHijump 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyIceBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyJumpBall 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyMissile 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyMorphBall 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyMW 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyMWGlass 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyPlasmaBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyPowerBomb 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyPowerGrip 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyScrewAttack 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyShortBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinySpaceJump 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinySpazerBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinySpeedBooster 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinySpiderBall 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinySuperMissile 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyVariaSuit 0 16 16 0 false false false AxisAlignedRect 0 16
sItemChinyWaveBeam 0 16 16 0 false false false AxisAlignedRect 0 16

sMWTrap_MWGold 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_PowerGrip 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_WideBeam 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_GravitySuitSM 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_MissileFusion 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_PowerBombFusion 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_SuperMissileFusion 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_UnknownItemFusion 0 16 16 0 false false false AxisAlignedRect 0 16

sMWTrap_FakeBombEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeChargeBeamEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeDNAEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeEnergyTankEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeIceBeamEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeMissileEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakePlasmaBeamEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakePowerBombEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSpazerBeamEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSpeedBoosterEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSuperMissileEasy 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeWaveBeamEasy 0 16 16 0 false false false AxisAlignedRect 0 16

sMWTrap_FakeBombHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeChargeBeamHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeDNAHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeEnergyTankHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeIceBeamHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeMissileHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakePlasmaBeamHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakePowerBombHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSpazerBeamHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSpeedBoosterHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeSuperMissileHard 0 16 16 0 false false false AxisAlignedRect 0 16
sMWTrap_FakeWaveBeamHard 0 16 16 0 false false false AxisAlignedRect 0 16

